Metascore,NameGame,NameConsole,Userscore,Fecha 
98,Grand Theft Auto IV,PS3,7.5,2008-04-29 00:00:00.0
98,Grand Theft Auto IV,X360,7.9,2008-04-29 00:00:00.0
98,Tony Hawk's Pro Skater 2,PS,7.4,2000-09-20 00:00:00.0
98,Red Dead Redemption 2,XONE,5.9,2018-10-26 00:00:00.0
97,Grand Theft Auto V,PS3,8.3,2013-09-17 00:00:00.0
97,Halo: Combat Evolved,XBOX,8.6,2001-11-14 00:00:00.0
97,Grand Theft Auto III,PS2,8.5,2001-10-22 00:00:00.0
97,Tony Hawk's Pro Skater 3,PS2,7.5,2001-10-28 00:00:00.0
97,Super Mario Galaxy,WII,9.0,2007-11-12 00:00:00.0
97,Grand Theft Auto V,PS4,8.3,2014-11-18 00:00:00.0
