NameConsole,NameGame,Metascore,Userscore,Fecha
X360,Grand Theft Auto IV,98,7.9,2008-04-29 00:00:00.0
PS3,Grand Theft Auto IV,98,7.5,2008-04-29 00:00:00.0
PS,Tony Hawk's Pro Skater 2,98,7.4,2000-09-20 00:00:00.0
XONE,Red Dead Redemption 2,98,5.9,2018-10-26 00:00:00.0
GC,Metroid Prime,97,9.2,2002-11-17 00:00:00.0
WII,Super Mario Galaxy 2,97,9.1,2010-05-23 00:00:00.0
WII,Super Mario Galaxy,97,9.0,2007-11-12 00:00:00.0
N64,Perfect Dark,97,8.9,2000-05-22 00:00:00.0
Switch,Super Mario Odyssey,97,8.9,2017-10-27 00:00:00.0
XBOX,Halo: Combat Evolved,97,8.6,2001-11-14 00:00:00.0
